epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6798,1.81333,3.7962,2.162,0.01091,0.66444,0.04847,0.02165,1.62449,4.51007,2.38906,0.00015554,0.00015554,0.00015554
2,61.1947,1.42671,3.49704,1.86772,0.01544,0.71222,0.10373,0.06507,1.66927,4.45508,2.33613,0.000306242,0.000306242,0.000306242
3,91.0918,1.38036,3.29819,1.77403,0.0115,0.84444,0.15405,0.10377,1.57269,4.11176,2.10634,0.000440445,0.000440445,0.000440445
4,120.151,1.36276,3.06807,1.75838,0.41196,0.04667,0.11541,0.0516,1.49833,3.95786,2.01655,0.00055815,0.00055815,0.00055815
5,149.749,1.29024,2.91715,1.72934,0.42809,0.18656,0.17321,0.0782,1.47164,3.66388,2.03152,0.000659356,0.000659356,0.000659356
6,178.991,1.38224,2.85453,1.80038,0.44296,0.29828,0.26831,0.14397,1.3973,3.36795,2.08867,0.000744064,0.000744064,0.000744064
7,208.234,1.30271,2.75869,1.72889,0.4435,0.27556,0.25336,0.14528,1.44722,3.27247,2.07188,0.000781033,0.000781033,0.000781033
8,237.561,1.34092,2.75379,1.76915,0.16628,0.43717,0.22106,0.10428,1.59093,4.78898,2.20196,0.000726038,0.000726038,0.000726038
9,266.845,1.26955,2.55343,1.69223,0.30908,0.31323,0.24419,0.12115,1.61361,3.75251,2.16448,0.000671044,0.000671044,0.000671044
10,295.847,1.24072,2.49174,1.6521,0.32811,0.44855,0.4017,0.22538,1.4235,3.22008,2.00549,0.000616049,0.000616049,0.000616049
11,325.763,1.35514,3.11432,1.94151,0.59734,0.40616,0.44815,0.26412,1.33422,4.29669,1.88578,0.000561055,0.000561055,0.000561055
12,355.058,1.13096,2.87247,1.75335,0.58634,0.46181,0.42326,0.25807,1.39478,3.57357,2.07074,0.00050606,0.00050606,0.00050606
13,384.406,1.21312,2.68678,1.82315,0.50262,0.41798,0.50769,0.32072,1.27659,3.09724,1.81728,0.000451066,0.000451066,0.000451066
14,413.547,1.1736,2.69643,1.73614,0.46981,0.44054,0.53684,0.36313,1.21853,2.97497,1.76683,0.000396071,0.000396071,0.000396071
15,447.004,1.11748,2.63102,1.64156,0.5101,0.50596,0.60711,0.42,1.1529,2.66344,1.67155,0.000341077,0.000341077,0.000341077
16,474.98,1.0781,2.41284,1.6831,0.82671,0.56513,0.66755,0.45172,1.1365,2.36618,1.63865,0.000286083,0.000286083,0.000286083
17,502.877,1.13099,2.36888,1.68376,0.85391,0.60733,0.70237,0.47522,1.11528,2.27279,1.6014,0.000231088,0.000231088,0.000231088
